word,sense,pos,ipa,gloss
colher,infer,VERB,kuˈʎeɾ,"to infer, deduce"
colher,receive,VERB,kuˈʎeɾ,"to receive, get"
colher,run_over,VERB,kuˈʎeɾ,"to run over, knock down (atropelar)"
colher,take,VERB,kuˈʎeɾ,to take
colher,fishing_net_scoop,NOUN,kuˈʎɛɾ,"scoop net utensil with handle and mesh, used for fishing"
colher,long_tailed_bird,NOUN,kuˈʎɛɾ,"small long-tailed bird (magpie/azure-winged, rabilongo)"
colher,old_goods_tax,NOUN,kuˈʎɛɾ,old tax levied on goods/produce
colher,spoon,NOUN,kuˈʎɛɾ,"spoon, domestic utensil with handle and concave bowl"
colher,spoon_shaped_tool,NOUN,kuˈʎɛɾ,extensive name for various spoon-shaped utensils (e.g. trowel)
colher,spoonful,NOUN,kuˈʎɛɾ,"spoonful, the contents of a spoon"
colmo,culm,NOUN,ˈkoɫmu,"culm, jointed stem with sheathing leaves as in grasses"
colmo,thatch_straw,NOUN,ˈkoɫmu,straw used to roof some huts (thatch)
colmo,thatch,VERB,ˈkɔɫmu,(protected: operational roster)
colmo,thatch_verb,VERB,ˈkɔɫmu,1sg present of colmar: to thatch (roof with straw)
começo,beginning,NOUN,kuˈmesu,fact of beginning; first instant of existence or execution of something
começo,cause,NOUN,kuˈmesu,cause
começo,first_attempts,NOUN,kuˈmesu,first attempts or experiences; trial run (ensaio)
começo,origin,NOUN,kuˈmesu,"origin, source"
começo,begin,VERB,kuˈmɛsu,"1sg present of começar: to begin, start"
conforto,comfort,NOUN,kõˈfoɾtu,(protected: operational roster)
conforto,comfort_act,NOUN,kõˈfoɾtu,act or effect of comforting
conforto,convenience,NOUN,kõˈfoɾtu,"comfort, convenience, amenity (comodidade)"
conforto,solace,NOUN,kõˈfoɾtu,"aid, solace in distress"
conforto,wellbeing,NOUN,kõˈfoɾtu,well-being
conforto,soothe,VERB,kõˈfɔɾtu,"1sg present of confortar: to comfort, strengthen, console"
congelo,embargo,NOUN,kõˈʒelu,"embargo, freeze (e.g. of assets/prices)"
congelo,freezing,NOUN,kõˈʒelu,act or effect of freezing
congelo,freeze,VERB,kõˈʒɛlu,"1sg present of congelar: to freeze, make pass from liquid to solid"
conserto,arrangement,NOUN,kõˈseɾtu,"arrangement, fix-up (arranjo)"
conserto,makeshift_remedy,NOUN,kõˈseɾtu,"makeshift remedy, stopgap (remedeio)"
conserto,patch,NOUN,kõˈseɾtu,"patch, mend (remendo)"
conserto,repair,NOUN,kõˈseɾtu,act or effect of repairing; repair
conserto,mend,VERB,kõˈsɛɾtu,"1sg present of consertar: to mend, repair, fix"
consolo,consolation,NOUN,kõˈsolu,(protected: operational roster)
consolo,consolation_act,NOUN,kõˈsolu,act or effect of consoling
consolo,console_table,NOUN,kõˈsolu,console table: long narrow table set against a wall for decorative objects
consolo,solace,NOUN,kõˈsolu,that which relieves or comforts
consolo,wall_bracket,NOUN,kõˈsolu,"projecting wall element (corbel) supporting vases, sculptures, cornices"
consolo,console,VERB,kõˈsɔlu,"1sg present of consolar: to console, relieve distress or pain"
contorno,contour,NOUN,kõˈtoɾnu,line or surface that bounds a figure or body externally; outline
contorno,contoured_aspect,NOUN,kõˈtoɾnu,appearance of something contoured
contorno,edge,NOUN,kõˈtoɾnu,"border, edge"
contorno,outline,NOUN,kõˈtoɾnu,"delineation, outline (delineamento)"
contorno,phrasing_elegance,NOUN,kõˈtoɾnu,elegance of phrasing/expression
contorno,relief_trace,NOUN,kõˈtoɾnu,tracing of a relief (cartographic contour line)
contorno,turn_around,NOUN,kõˈtoɾnu,"turn, going around (volta)"
contorno,circumvent,VERB,kõˈtɔɾnu,"1sg present of contornar: to trace the outline of, go around, get around"
cor,character,NOUN,ˈkoɾ,"character, nature (carácter)"
cor,chromatic_colour,NOUN,ˈkoɾ,"colour as opposed to black, white or grey"
cor,colour,NOUN,ˈkoɾ,colour: visual impression produced by light per wavelength
cor,colour_property,NOUN,ˈkoɾ,property of a body to produce a colour impression by reflecting/emitting light
cor,coloured_appearance,NOUN,ˈkoɾ,state or aspect of a coloured body
cor,complexion,NOUN,ˈkoɾ,natural colouring of the skin/complexion
cor,image_colour_quality,NOUN,ˈkoɾ,chromatic quality of an image
cor,local_colour,NOUN,ˈkoɾ,"set of characteristic aspects of a place, era, etc. (local colour)"
cor,pigment,NOUN,ˈkoɾ,"substance (pigment, paint) used to give colour"
cor,political_affiliation,NOUN,ˈkoɾ,political opinion/leaning (cor política)
cor,predominant_colour,NOUN,ˈkoɾ,predominant colouring of something
cor,symbolic_colour,NOUN,ˈkoɾ,"colour symbolizing a group, entity, etc."
cor,by_heart,NOUN,ˈkɔɾ,"heart (organ); chiefly in 'de cor' = by heart, from memory"
coro,angelic_order,NOUN,ˈkoɾu,each of the nine hierarchies of angels
coro,chancel,NOUN,ˈkoɾu,part of a church reserved for the divine offices and chants
coro,choir,NOUN,ˈkoɾu,group of people who sing together in unison or in parts
coro,choral_piece,NOUN,ˈkoɾu,musical composition to be sung by a choir
coro,chorus_of_actors,NOUN,ˈkoɾu,group of actors who recite or sing together
coro,chorus_of_sounds,NOUN,ˈkoɾu,ensemble of voices or sounds
coro,dance_troupe,NOUN,ˈkoɾu,group of people performing dances
coro,lie,NOUN,ˈkoɾu,"a lie, falsehood"
coro,refrain,NOUN,ˈkoɾu,passage repeated at the end of each stanza (music or lyrics)
coro,blush,VERB,ˈkɔɾu,"to redden, make colours rise (1sg pres. of corar)"
corte,cattle_pen,NOUN,ˈkoɾtɨ,enclosure where livestock is kept (fem.)
corte,circle_of_flatterers,NOUN,ˈkoɾtɨ,circle of sycophants (fem.)
corte,court,NOUN,ˈkoɾtɨ,(protected: operational roster)
corte,court_martial,NOUN,ˈkoɾtɨ,(protected: operational roster)
corte,court_of_law,NOUN,ˈkoɾtɨ,(protected: operational roster)
corte,courtiers,NOUN,ˈkoɾtɨ,the people who reside at and surround a king (fem.)
corte,courtship,NOUN,ˈkoɾtɨ,wooing (fem.)
corte,parliament,NOUN,ˈkoɾtɨ,assembly of a nation's representatives; parliament (fem.)
corte,pigsty_stall,NOUN,ˈkoɾtɨ,division of a pigsty (fem.)
corte,retinue,NOUN,ˈkoɾtɨ,entourage (fem.)
corte,royal_court,NOUN,ˈkoɾtɨ,residence of a monarch and those who reside with them (fem.)
corte,blade_edge,NOUN,ˈkɔɾtɨ,the cutting edge of a sharp instrument
corte,book_edge,NOUN,ˈkɔɾtɨ,each of the three surfaces formed by the edges of a closed book's leaves
corte,breakup,NOUN,ˈkɔɾtɨ,breaking off of a relationship
corte,closure,NOUN,ˈkɔɾtɨ,road closure; blockage
corte,cloth_length,NOUN,ˈkɔɾtɨ,amount of cloth needed to make a garment
corte,cross_section,NOUN,ˈkɔɾtɨ,graphic representation of a plane section of a building or machine
corte,cut,NOUN,ˈkɔɾtɨ,act or effect of cutting; cut made with a sharp object
corte,cutback,NOUN,ˈkɔɾtɨ,reduction in quantity or dimension of something
corte,cutoff,NOUN,ˈkɔɾtɨ,interruption in the continuity of something (e.g. supply)
corte,elimination,NOUN,ˈkɔɾtɨ,"elimination, removal (e.g. from a competition)"
corte,garment_cut,NOUN,ˈkɔɾtɨ,the cut/shape of a garment as tailored
corte,haircut,NOUN,ˈkɔɾtɨ,the shape/style assumed by treated hair
corte,interception,NOUN,ˈkɔɾtɨ,interception of a pass or shot by an opposing player
corte,killjoy,NOUN,ˈkɔɾtɨ,person who spoils others' fun
corte,reneger,NOUN,ˈkɔɾtɨ,person who refuses to do what they had committed to
corte,suppression,NOUN,ˈkɔɾtɨ,suppression or reduction of the effect of something
corte,tailoring,NOUN,ˈkɔɾtɨ,operation of cutting fabric to set patterns
corte,wound,NOUN,ˈkɔɾtɨ,injury caused by contact with a sharp surface or instrument
decoro,decorum,NOUN,dɨˈkoɾu,respect for social norms and good manners; honesty
decoro,modesty,NOUN,dɨˈkoɾu,decency/modesty in action and speech
decoro,stylistic_decorum,NOUN,dɨˈkoɾu,appropriateness of literary style to its subject
decoro,decorate,VERB,dɨˈkɔɾu,"to adorn, decorate (1sg pres. of decorar)"
decoro,memorize,VERB,dɨˈkɔɾu,to learn by heart (1sg pres. of decorar)
degelo,détente,NOUN,dɨˈʒelu,gradual easing of a tense situation or state
degelo,thaw,NOUN,dɨˈʒelu,act or effect of thawing
degelo,thaw_phenomenon,NOUN,dɨˈʒelu,gradual melting of ice and snow on Earth's surface from rising temperature
degelo,thaw_out,VERB,dɨˈʒɛlu,to melt the ice off; to warm (1sg pres. of degelar)
desacordo,disagreement,NOUN,dɨzɐˈkoɾdu,lack of agreement
desacordo,discord_musical,NOUN,dɨzɐˈkoɾdu,"musical discord, being out of tune"
desacordo,faint,NOUN,dɨzɐˈkoɾdu,"a faint, swoon"
desacordo,disagree,VERB,dɨzɐˈkɔɾdu,to put out of accord/harmony (1sg pres. of desacordar)
desafogo,affluence,NOUN,dɨzɐˈfoɡu,"ampleness of means, financial comfort"
desafogo,ease,NOUN,dɨzɐˈfoɡu,"freedom from constraint, unburdening"
desafogo,relief,NOUN,dɨzɐˈfoɡu,freeing from what suffocates or oppresses; alleviation
desafogo,relieve,VERB,dɨzɐˈfɔɡu,to free from what suffocates or oppresses (1sg pres. of desafogar)
desaforo,insolence,NOUN,dɨzɐˈfoɾu,"scandal; insolence, affront"
desaforo,affront,VERB,dɨzɐˈfɔɾu,to exempt from paying ground-rent; to judge in a different jurisdiction (1sg pres. of desaforar)
desapego,abandonment,NOUN,dɨzɐˈpeɡu,"abandonment, neglect"
desapego,indifference,NOUN,dɨzɐˈpeɡu,"indifference, detachment"
desapego,lack_of_affection,NOUN,dɨzɐˈpeɡu,lack of love/affection
desapego,let_go,VERB,dɨzɐˈpɛɡu,"to detach, unstick; become less attached (1sg pres. of desapegar)"
desassossego,agitation,NOUN,dɨzɐsuˈseɡu,"agitation, turmoil"
desassossego,disquiet,NOUN,dɨzɐsuˈseɡu,lack of calm; restlessness
desassossego,unease,NOUN,dɨzɐsuˈseɡu,"inquietude, anxiety"
desassossego,disturb,VERB,dɨzɐsuˈsɛɡu,to deprive of calm; to make restless (1sg pres. of desassossegar)
desconforto,discomfort,NOUN,dɨʃkõˈfoɾtu,lack of comfort or convenience
desconforto,dismay,NOUN,dɨʃkõˈfoɾtu,"disconsolation, dejection"
desconforto,discomfit,VERB,dɨʃkõˈfɔɾtu,to take comfort from; to unsettle (1sg pres. of desconfortar)
desconsolo,disconsolation,NOUN,dɨʃkõˈsolu,"sadness, grief, sorrow"
desconsolo,dissatisfaction,NOUN,dɨʃkõˈsolu,"dissatisfaction, discontent"
desconsolo,dishearten,VERB,dɨʃkõˈsɔlu,to cause disconsolation (1sg pres. of desconsolar)
desdobro,unfolding,NOUN,dɨʒˈdobɾu,(protected: operational roster)
desdobro,unfolding_machine,NOUN,dɨʒˈdobɾu,machine for unfolding/spreading out
desdobro,unfold,VERB,dɨʒˈdɔbɾu,"1sg present of desdobrar: to unfold, spread open, separate"
desempeno,agility,NOUN,dɨzẽˈpenu,"agility, nimbleness; ease, self-assurance (à-vontade)"
desempeno,gracefulness,NOUN,dɨzẽˈpenu,"grace, poise (garbo)"
desempeno,straightening,NOUN,dɨzẽˈpenu,"act/effect of straightening; flattening, levelling"
desempeno,surface_plate,NOUN,dɨzẽˈpenu,straightedge/plate used to check the flatness of a piece or surface
desempeno,straighten,VERB,dɨzẽˈpɛnu,"1sg present of desempenar: to straighten, take the warp out of"
desemperro,ease,NOUN,dɨzẽˈpeʁu,"unimpeded ease, freedom of movement (desembaraço)"
desemperro,free_moving_state,NOUN,dɨzẽˈpeʁu,state of moving/sliding/articulating without difficulty
desemperro,unjamming,NOUN,dɨzẽˈpeʁu,"act/effect of unjamming, of freeing what was stuck"
desemperro,unjam,VERB,dɨzẽˈpɛʁu,"1sg present of desemperrar: to unjam, loosen, free up"
desempeço,free_up,VERB,dɨzẽˈpesu,"1sg present of desempecer: to free up, clear of obstacles"
desempeço,relief,NOUN,dɨzẽˈpesu,relief (alívio)
desempeço,riddance,NOUN,dɨzẽˈpesu,act/effect of removing an obstacle; removal of what hinders
desemprego,unemployment,NOUN,dɨzẽˈpɾeɡu,lack of employment; condition of being out of work
desemprego,unemployment_rate,NOUN,dɨzẽˈpɾeɡu,number of people without a job in an area or sector
desemprego,noun,NOUN,dɨzẽˈpɾeɡu,(protected: operational roster)
desemprego,lay_off,VERB,dɨzẽˈpɾɛɡu,1sg present of desempregar: to lay off / leave one's job
desemprego,verb,VERB,dɨzẽˈpɾɛɡu,(protected: operational roster)
desenredo,denouement,NOUN,dɨzẽˈʁedu,"denouement, resolution of a plot (desenlace)"
desenredo,disentanglement,NOUN,dɨzẽˈʁedu,separation of what is entangled or tangled up
desenredo,intrigue_exposure,NOUN,dɨzẽˈʁedu,discovery or neutralization of an intrigue/conspiracy
desenredo,solution,NOUN,dɨzẽˈʁedu,"solution, way out (solução)"
desenredo,disentangle,VERB,dɨzẽˈʁɛdu,"1sg present of desenredar: to disentangle, resolve, explain"
desespero,despair,NOUN,dɨzɨʃˈpeɾu,hopelessness with violent feelings of grief/revolt
desespero,distress,NOUN,dɨzɨʃˈpeɾu,"distress, affliction (aflição)"
desespero,powerlessness,NOUN,dɨzɨʃˈpeɾu,sense of powerlessness/helplessness
desespero,despair_at,VERB,dɨzɨʃˈpɛɾu,1sg present of desesperar: to drive to despair / lose hope
desgelo,defrosting,NOUN,dɨˈʒelu,"thaw, defrosting (variant of degelo)"
desgelo,defrost,VERB,dɨˈʒɛlu,1sg present of desgelar: to thaw/defrost
desgosto,displeasure,NOUN,dɨʒˈɡoʃtu,"displeasure, dislike (desagrado)"
desgosto,distaste,NOUN,dɨʒˈɡoʃtu,"absence of liking, distaste (ausência de gosto)"
desgosto,sorrow,NOUN,dɨʒˈɡoʃtu,"sorrow, grief (mágoa)"
desgosto,dislike,VERB,dɨʒˈɡɔʃtu,1sg present of desgostar: to displease / not like / lose taste for
desmantelo,dismantling,NOUN,dɨʒmɐ̃ˈtelu,act/effect of dismantling
desmantelo,genital_disorder,NOUN,dɨʒmɐ̃ˈtelu,any female genital disturbance
desmantelo,menstruation,NOUN,dɨʒmɐ̃ˈtelu,menstruation
desmantelo,dismantle,VERB,dɨʒmɐ̃ˈtɛlu,"1sg present of desmantelar: to dismantle, demolish, take apart"
despego,detachment,NOUN,dɨʃˈpeɡu,"lack of attachment/affection, indifference"
despego,detachment_act,NOUN,dɨʃˈpeɡu,"act/effect of detaching, unsticking"
despego,detach,VERB,dɨʃˈpɛɡu,"1sg present of despegar: to detach, unstick, come loose"
despojo,cast_off_remains,NOUN,dɨsˈpoʒu,what is shed or torn off after having served as adornment; remains
despojo,despoiling,NOUN,dɨsˈpoʒu,"act or effect of despoiling, plundering"
despojo,estate_inheritance,NOUN,dɨsˈpoʒu,estate left by a deceased person; inheritance
despojo,mortal_remains,NOUN,dɨsˈpoʒu,"mortal remains, dead body"
despojo,spoils,NOUN,dɨsˈpoʒu,"spoils, booty, prey taken"
despojo,strip,VERB,dɨsˈpɔʒu,"I strip, deprive, rob (1sg present of despojar)"
desprezo,contempt,NOUN,dɨʃˈpɾezu,lack of esteem or appreciation; contempt
desprezo,contempt_act,NOUN,dɨʃˈpɾezu,act or effect of despising
desprezo,disregard,NOUN,dɨʃˈpɾezu,disregard for someone or something
desprezo,despise,VERB,dɨʃˈpɾɛzu,"I despise, scorn, disregard (1sg present of desprezar)"
destroço,rout,NOUN,dɨʃˈtɾosu,"rout, defeat, scattering (desbarate)"
destroço,ruin,NOUN,dɨʃˈtɾosu,ruin
destroço,wreckage,NOUN,dɨʃˈtɾosu,"remains of something destroyed; wreckage, debris"
