word,sense,pos,ipa
tempero,season,VERB,tẽˈpɛɾu
sopro,breath,NOUN,ˈsopɾu
sopro,blow,VERB,ˈsɔpɾu
forro,lining,NOUN,ˈfoʁu
forro,line,VERB,ˈfɔʁu
dobro,double,NOUN,ˈdobɾu
dobro,fold,VERB,ˈdɔbɾu
abono,allowance,NOUN,ɐˈbonu
abono,vouch,VERB,ɐˈbɔnu
logro,deceit,NOUN,ˈloɡɾu
logro,deceive,VERB,ˈlɔɡɾu
topo,summit,NOUN,ˈtopu
topo,bump_into,VERB,ˈtɔpu
jorro,jet,NOUN,ˈʒoʁu
jorro,gush,VERB,ˈʒɔʁu
golfo,gulf,NOUN,ˈɡoɫfu
golfo,spew,VERB,ˈɡɔɫfu
colmo,culm,NOUN,ˈkoɫmu
colmo,thatch,VERB,ˈkɔɫmu
fosso,ditch,NOUN,ˈfosu
fosso,root_up,VERB,ˈfɔsu
toldo,awning,NOUN,ˈtoɫdu
toldo,cloud_over,VERB,ˈtɔɫdu
arrojo,boldness,NOUN,ɐˈʁoʒu
arrojo,hurl,VERB,ɐˈʁɔʒu
despojo,spoils,NOUN,dɨsˈpoʒu
despojo,strip,VERB,dɨsˈpɔʒu
cobro,cessation,NOUN,ˈkobɾu
cobro,collect,VERB,ˈkɔbɾu
domo,dome,NOUN,ˈdomu
domo,tame,VERB,ˈdɔmu
sobro,cork_oak,NOUN,ˈsobɾu
sobro,be_left_over,VERB,ˈsɔbɾu
retorno,return,NOUN,ʁɨˈtoɾnu
retorno,go_back,VERB,ʁɨˈtɔɾnu
desgosto,sorrow,NOUN,dɨʒˈɡoʃtu
desgosto,dislike,VERB,dɨʒˈɡɔʃtu
desconforto,discomfort,NOUN,dɨʃkõˈfoɾtu
desconforto,discomfit,VERB,dɨʃkõˈfɔɾtu
desdobro,unfolding,NOUN,dɨʒˈdobɾu
desdobro,unfold,VERB,dɨʒˈdɔbɾu
redobro,redoubling,NOUN,ʁɨˈdobɾu
redobro,redouble,VERB,ʁɨˈdɔbɾu
reboco,plaster,NOUN,ʁɨˈboku
reboco,tow,VERB,ʁɨˈbɔku
decoro,decorum,NOUN,dɨˈkoɾu
decoro,memorize,VERB,dɨˈkɔɾu
estofo,stuffing,NOUN,ɨʃˈtofu
estofo,upholster,VERB,ɨʃˈtɔfu
destroço,wreckage,NOUN,dɨʃˈtɾosu
destroço,wreck,VERB,dɨʃˈtɾɔsu
desafogo,relief,NOUN,dɨzɐˈfoɡu
desafogo,relieve,VERB,dɨzɐˈfɔɡu
arroto,belch,NOUN,ɐˈʁotu
arroto,burp,VERB,ɐˈʁɔtu
consolo,consolation,NOUN,kõˈsolu
consolo,console,VERB,kõˈsɔlu
desconsolo,disconsolation,NOUN,dɨʃkõˈsolu
desconsolo,dishearten,VERB,dɨʃkõˈsɔlu
desacordo,disagreement,NOUN,dɨzɐˈkoɾdu
desacordo,disagree,VERB,dɨzɐˈkɔɾdu
engodo,bait,NOUN,ẽˈɡodu
engodo,lure,VERB,ẽˈɡɔdu
escorço,foreshortening,NOUN,ɨʃˈkoɾsu
escorço,foreshorten,VERB,ɨʃˈkɔɾsu
desaforo,insolence,NOUN,dɨzɐˈfoɾu
desaforo,affront,VERB,dɨzɐˈfɔɾu
abrolho,caltrop,NOUN,ɐˈbɾoʎu
abrolho,sprout,VERB,ɐˈbɾɔʎu
rola,turtledove,NOUN,ˈɾolɐ
rola,rolls,VERB,ˈɾɔlɐ
solto,loose,ADJ,ˈsoɫtu
solto,release,VERB,ˈsɔɫtu
encosto,backrest,NOUN,ẽˈkoʃtu
encosto,lean,VERB,ẽˈkɔʃtu
apelo,appeal,NOUN,ɐˈpelu
apelo,call_out,VERB,ɐˈpɛlu
desprezo,contempt,NOUN,dɨʃˈpɾezu
desprezo,despise,VERB,dɨʃˈpɾɛzu
enredo,plot,NOUN,ẽˈʁedu
enredo,entangle,VERB,ẽˈʁɛdu
desenredo,denouement,NOUN,dɨzẽˈʁedu
desenredo,disentangle,VERB,dɨzẽˈʁɛdu
espeto,skewer,NOUN,ɨʃˈpetu
espeto,stab,VERB,ɨʃˈpɛtu
aperto,squeeze,NOUN,ɐˈpeɾtu
aperto,tighten,VERB,ɐˈpɛɾtu
desvelo,devotion,NOUN,dɨʒˈvelu
desvelo,unveil,VERB,dɨʒˈvɛlu
repelo,hair_pull,NOUN,ʁɨˈpelu
repelo,pluck,VERB,ʁɨˈpɛlu
arrepelo,hair_pulling,NOUN,ɐʁɨˈpelu
arrepelo,snatch,VERB,ɐʁɨˈpɛlu
congelo,freezing,NOUN,kõˈʒelu
congelo,freeze,VERB,kõˈʒɛlu
arremesso,throw,NOUN,ɐʁɨˈmesu
arremesso,fling,VERB,ɐʁɨˈmɛsu
arremedo,imitation,NOUN,ɐʁɨˈmedu
arremedo,mimic,VERB,ɐʁɨˈmɛdu
despego,detachment,NOUN,dɨʃˈpeɡu
despego,detach,VERB,dɨʃˈpɛɡu
desapego,indifference,NOUN,dɨzɐˈpeɡu
desapego,let_go,VERB,dɨzɐˈpɛɡu
apego,attachment,NOUN,ɐˈpeɡu
apego,cling,VERB,ɐˈpɛɡu
desemprego,noun,NOUN,dɨzẽˈpɾeɡu
desemprego,verb,VERB,dɨzẽˈpɾɛɡu
desmantelo,dismantling,NOUN,dɨʒmɐ̃ˈtelu
desmantelo,dismantle,VERB,dɨʒmɐ̃ˈtɛlu
atropelo,trampling,NOUN,ɐtɾuˈpelu
atropelo,run_over,VERB,ɐtɾuˈpɛlu
degelo,thaw,NOUN,dɨˈʒelu
degelo,thaw_out,VERB,dɨˈʒɛlu
desgelo,defrosting,NOUN,dɨˈʒelu
desgelo,defrost,VERB,dɨˈʒɛlu
desespero,despair,NOUN,dɨzɨʃˈpeɾu
desespero,despair_at,VERB,dɨzɨʃˈpɛɾu
escabelo,stool,NOUN,ɨʃkɐˈbelu
escabelo,dishevel,VERB,ɨʃkɐˈbɛlu
novelo,yarn_ball,NOUN,nuˈvelu
novelo,narrate,VERB,nuˈvɛlu
relevo,relief_terrain,NOUN,ʁɨˈlevu
relevo,emphasize,VERB,ʁɨˈlɛvu
aceno,nod,NOUN,ɐˈsenu
aceno,beckon,VERB,ɐˈsɛnu
sopeso,heft,NOUN,suˈpezu
sopeso,weigh_up,VERB,suˈpɛzu
empeno,warping,NOUN,ẽˈpenu
empeno,warp,VERB,ẽˈpɛnu
desempeno,straightening,NOUN,dɨzẽˈpenu
desempeno,straighten,VERB,dɨzẽˈpɛnu
sossego,calm,NOUN,suˈseɡu
sossego,soothe,VERB,suˈsɛɡu
desassossego,disquiet,NOUN,dɨzɐsuˈseɡu
desassossego,disturb,VERB,dɨzɐsuˈsɛɡu
esmero,meticulousness,NOUN,ɨʒˈmeɾu
esmero,perfect,VERB,ɨʒˈmɛɾu
azedo,sour,ADJ,ɐˈzedu
azedo,turn_sour,VERB,ɐˈzɛdu
desempeço,riddance,NOUN,dɨzẽˈpesu
desempeço,free_up,VERB,dɨzẽˈpɛsu
desemperro,unjamming,NOUN,dɨzẽˈpeʁu
desemperro,unjam,VERB,dɨzẽˈpɛʁu
emperro,jam,NOUN,ẽˈpeʁu
emperro,stick,VERB,ẽˈpɛʁu
